Factor,TrainMean,ValidationMean,TestMean,TrainStd,ValidationStd,TestStd,TrainMedian,ValidationMedian,TestMedian,ValidationMeanShiftZ,TestMeanShiftZ,TestToTrainStdRatio,TrainMin,TrainMax,ValidationMin,ValidationMax,TestMin,TestMax
SMA20Distance,-0.00649627191289576,0.0247739586429367,0.0932468320944655,0.103158418497508,0.0643081844611966,0.104326595256115,-0.0018328657199539,0.0129833022815864,0.0919429175443633,0.303128246935929,0.966892527629928,1.01132410496033,-0.441885612712218,0.399935230356157,-0.126177945235768,0.232810582587069,-0.142477678419727,0.390490875902885
SMA50Distance,-0.015619479102262,0.0676290195031634,0.241983644401085,0.159845544061058,0.10826298936862,0.14537313564742,-0.0265295974955086,0.0456876916358373,0.214155672934888,0.520805876037595,1.61157525545377,0.909460044703464,-0.476258731939901,0.552434998409127,-0.093965202444623,0.377955977325598,-0.0287099457830494,0.748566453596177
RSI14,49.3031484492829,55.1688982716769,66.1983342140437,13.7044906882651,10.4364363820593,11.3304139562762,48.2002075791462,53.2576113304337,65.138828790336,0.428016622859017,1.23282113498956,0.826766511358076,10.4977973731986,89.9921589595784,33.1430282150119,85.2889090305356,42.8419149414893,89.5701622685304
MACD,-56.73499199195,154.825469708308,1698.2263719062,369.284714196826,247.540397101087,1317.86146954559,-42.1438668415803,108.345059014569,1277.1950100019,0.572892550292503,4.7523260412094,3.56868675816128,-1372.20858754361,1086.58965224433,-315.118161521072,664.228291082405,-42.4046516380149,5248.18231570607
MACDSignal,-55.3983339286287,154.11827289291,1664.99088447268,343.019026875241,229.106187576078,1202.98319184818,-45.47083115133,117.749139098202,1243.02029051222,0.610801706045717,5.01543379116117,3.5070450837869,-1186.54924716171,892.480110308479,-244.314134531242,551.434626925929,-56.4136694240212,4502.92945754484
MACDHistogram,-1.33665806332141,0.70719681539715,33.2354874335181,123.222448341567,85.3909831452584,533.10216045857,4.9951114967187,-2.2926851332074,80.3443426269025,0.016586708884838,0.280566941836824,4.3263396210148,-499.074089978313,462.512244871507,-203.479320933876,226.992063510634,-1373.03674268526,1233.81609295856
Volatility5,0.0349209171906141,0.0263174038327871,0.0372738939197993,0.0242958552955909,0.0154888471030339,0.0179613841501281,0.0293125637761902,0.0235460741283841,0.0338241185626692,-0.354114446812181,0.0968468366541615,0.739277705254842,0.00209092146331888,0.209227122396898,0.00462218856227308,0.0650926018870447,0.00732734469606252,0.0936155032248558
Volatility10,0.0366833914413736,0.0280034853054687,0.0384062074172154,0.0212796841357582,0.0117293204585871,0.014395095811983,0.0322269747362406,0.0259586685101434,0.0385387909206123,-0.407896380441065,0.080960599078947,0.676471310389124,0.00595922106131622,0.154782533819711,0.00533177974815926,0.0540653647289164,0.00950125743460159,0.0674232617706689
Volatility20,0.0382996304416397,0.0291911620725593,0.0386743392335708,0.0187564604400532,0.00954080234316695,0.0128999333318329,0.0329479639609919,0.0317671802089982,0.0373116384758462,-0.485617656817058,0.0199775854900063,0.687759472159575,0.00857342284748842,0.114492976515151,0.0117886926099806,0.0482614604195395,0.0114446009121787,0.0655154773539624
Volatility30,0.0391486877234438,0.030636377999928,0.0385116427022547,0.0173028761211843,0.00921385456265852,0.0128349353146997,0.034473201459828,0.0291006217354739,0.0380683721796712,-0.49195923636614,-0.0368172907629582,0.741780454579204,0.0122202132736858,0.0960926057897073,0.0120003753901518,0.0590351190147377,0.0168833953019747,0.0617263474594072
ATR14,466.807130861337,407.729519774011,2245.59716292135,357.275509475188,127.849838987482,1522.80888573333,377.671071428572,394.933571428571,1771.66035714285,-0.165355893478694,4.97876284515814,4.26228175552876,77.6014285714285,2110.07142857143,158.440714285714,672.453571428571,242.642857142857,4961.11142857143
ATR14Normalized,0.0591303878643701,0.0418692306018538,0.0644442555975776,0.0324977409512458,0.0131355431194251,0.0261029610919566,0.0504566046938245,0.0436217320783942,0.0623562784980814,-0.531149450923745,0.163514988355023,0.80322386504087,0.0153824802397157,0.192490166326986,0.0171845558874014,0.076321597884931,0.0222087137918532,0.137331998276831
DailyRange,0.0580358274131902,0.0412317445474767,0.0686522398227118,0.0496819230268691,0.0279762073000984,0.0387573685314233,0.0450739540482808,0.0340107914604895,0.0597368305869699,-0.338233342067406,0.213687630484431,0.780110071634354,0.00817505086562939,0.74086875,0.00966300371152966,0.167129249080281,0.0127222049821918,0.221574846340024
VolumeChange,0.100344805390707,0.0709983064074903,0.0718549283372247,0.662949128487919,0.467618455145312,0.396291668289214,-0.0362152168138401,-0.0460406594455794,0.00843751944983973,-0.0442665925968582,-0.0429744543423164,0.597770856405063,-0.974965846361391,12.4619838650582,-0.575549997475855,2.96405995446944,-0.633823155715732,1.50295981637534
VolumeRelative,1.03578735518931,0.968131652570164,1.0258870807563,0.51973507207965,0.395267672386255,0.368970914267563,0.911829640065136,0.899256642924925,0.938762196307741,-0.130173440765568,-0.0190486941614289,0.70992113884325,0.0437160700738569,4.63684238282191,0.446690428063246,3.19503440967897,0.40790501131063,2.58120887692958
SentimentLag1,0.226228586607596,0.248122189215009,0.271278150965019,0.0377234477393423,0.0560967450696332,0.0436073998374833,0.228855726334026,0.241856807511736,0.263021011137259,0.580371199331825,1.19420591322145,1.15597598975569,-0.0609099678999823,0.327702718376215,-0.0817425036818865,0.458963087572423,0.166080783101495,0.402896242527748
SentimentLag3,0.226229616632902,0.245670381177531,0.272351020441719,0.0377222313387147,0.0531062942314069,0.0461890842209352,0.228855726334026,0.240829050172346,0.263021011137259,0.515366240402552,1.22265842109618,1.22445259948159,-0.0609099678999823,0.327702718376215,-0.0817425036818865,0.446232866242049,0.166080783101495,0.458963087572423
SentimentLag7,0.226359425218282,0.242504278215444,0.272990414060766,0.0377449599471802,0.0503277883288139,0.0477942482857274,0.229133349939943,0.23978894736842,0.263021011137259,0.427735332604824,1.23542292554395,1.26624185990951,-0.0609099678999823,0.327702718376215,-0.0817425036818865,0.446232866242049,0.166080783101495,0.458963087572423
SentimentMA3,0.226221819623393,0.247973950115852,0.271494741346064,0.0297613260129166,0.0458313920185521,0.0386388047195309,0.228231079162649,0.239660997615609,0.264657248040508,0.730885797326994,1.52119975108041,1.29828908506165,0.0817586993171926,0.300709057649523,0.0682268366641473,0.421736551622508,0.181689603260079,0.388244166928669
SentimentMA7,0.226252060384986,0.245844761164718,0.272351778006325,0.0249132590645502,0.0368513069222619,0.0371307379633875,0.22729698621699,0.234377999730583,0.264067451092954,0.786436681325686,1.85040895299546,1.4904006684626,0.12457579522988,0.286547797847296,0.158552466635233,0.365258180875135,0.198415792860732,0.365366101164268
SentimentMA14,0.22635712287765,0.243349657222882,0.272767578921404,0.0211300034053013,0.0308611636510418,0.0362793931302571,0.227165430624282,0.232573364379398,0.263580447839077,0.804189853607351,2.19642444696012,1.71696106405524,0.142691604446202,0.278179886242052,0.19434647998824,0.32050822125102,0.21108147483676,0.356473389356681
SentimentChange,-2.14620137096147e-05,0.000643352338512527,0.000325867674351224,0.0385129875740013,0.0538776522474141,0.0346142687960828,0.000477229724100498,0.000681128927410984,0.00104261392792448,0.0172620820689313,0.00901850803948817,0.898768726512653,-0.270671150569771,0.199595063964149,-0.34823406284149,0.183425623642906,-0.088841830233804,0.106011032875997
SentimentReturnInteraction,0.000431211712174205,0.000669303699611884,0.00285453604434776,0.0084749028969074,0.00672352199221426,0.0102199988487472,0.000144013146041152,0.00076534476801481,0.00230181742811477,0.0280937717321294,0.285941250495962,1.20591338603733,-0.0299332104431948,0.0437642964699754,-0.0237268439523169,0.0287931309408364,-0.0310305507928275,0.0426295863323876
SentimentMomentumInteraction,0.00113192134216873,0.00439522515879979,0.0194058779220836,0.0239524237895851,0.0162365633979021,0.0283716583569292,1.58478857147174e-05,0.00236686428864703,0.01865190248974,0.136241068766076,0.762927240284579,1.18450051678134,-0.0790263868838023,0.0913106942339469,-0.0365570087586304,0.0569632656394653,-0.0533902057528539,0.102163872385338
Sentiment,0.226207124593886,0.248765541553522,0.27160401863937,0.037729933157253,0.0562632805908854,0.0441852461369266,0.228855726334026,0.241857056260656,0.263021011137259,0.597891781721831,1.20320632046381,1.17109261637885,-0.0609099678999823,0.327702718376215,-0.0817425036818865,0.458963087572423,0.166080783101495,0.402896242527748
SentimentRegime,-0.00121065375302663,0.322033898305085,0.685393258426966,0.818719465289507,0.756201887262206,0.574318670138407,0,0,1,0.394817230763909,0.83863147425865,0.701484079086018,-1,1,-1,1,-1,1
VolumeSMA20,43430.6404880667,65222.6113382271,81518.3709101084,20651.3760418001,18282.0793097504,20157.4780797069,39227.0953022,63002.9464577,85114.90515675,1.05523093502591,1.84431925238052,0.976084016818371,10166.87884895,155607.04033505,36885.1796816,110719.7180013,40301.9558898,119332.5558748
