Row,Sentiment,SampleSize,SentimentRegime,Return,ReturnLag1,ReturnLag2,ReturnLag3,ReturnLag5,ReturnLag7,Momentum3,Momentum5,Momentum7,Momentum14,Momentum30,SMA5,SMA10,SMA20,SMA50,EMA12,EMA26,EMA12Distance,EMA26Distance,SMA20Distance,SMA50Distance,RSI14,MACD,MACDSignal,MACDHistogram,Volatility5,Volatility10,Volatility20,Volatility30,ATR14,ATR14Normalized,DailyRange,VolumeChange,VolumeSMA20,VolumeRelative,SentimentLag1,SentimentLag3,SentimentLag7,SentimentMA3,SentimentMA7,SentimentMA14,SentimentChange,SentimentReturnInteraction,SentimentMomentumInteraction
Momentum5,0.317307312726584,-0.0503348673516507,0.26315150489599,0.4569352283158,0.410562892287305,0.445132206787831,0.414549952599269,0.0154423061013573,0.0272780679718172,0.790932105993344,0,0.860534768693271,0.568563284548181,0.351045732849684,0.0139282815337097,-0.0888646144179163,-0.131486896312518,-0.130419129339405,-0.0602028207143064,-0.112585699257713,0.870346482909916,0.704773194020907,0.748088457229431,0.483520277344698,0.660354580090434,0.304495243329812,0.0932323811963652,0.676000316527428,-0.140535098675623,-0.0411139181888005,-0.0286530848045282,-0.00480954121552073,-0.0637401929971088,-0.198264019041717,-0.23169816019257,-0.000739237251339699,0.0368387342545058,-0.0382502371149352,0.265487362637792,0.17442269003748,-0.0543236504086384,0.337560405193331,0.219139976772606,0.0651293738826646,0.050669847592227,0.405073297300206,0.83554384709061
Momentum7,0.304232599503836,-0.0513953282763149,0.25883494769515,0.390162640449963,0.344975902310727,0.384725667330083,0.384488002026207,0.350224463989567,0.0153961229462105,0.676228606476747,0.860534768693271,0,0.684490739147718,0.426115486304243,0.0607987815133508,-0.0629128433518754,-0.134030491451391,-0.144808024338283,-0.0376210765917949,-0.109647548020102,0.90396677025332,0.781250972763672,0.837608523168377,0.561049619592742,0.722611890837377,0.422013046404447,0.180038420646815,0.787625044549131,-0.159926850254632,-0.0800986984397336,-0.0351001041989192,-0.0182738865157688,-0.0755152116136023,-0.240177795531664,-0.22124396119794,-0.0208149299048434,0.0362383038784742,-0.0446901445952745,0.27815951325419,0.216685669698011,-0.0535632061674317,0.355264411911004,0.307082157030434,0.113818647086049,0.0254124016379593,0.33009716496672,0.975173538873392
Momentum14,0.296565716319781,-0.0771276690820234,0.251910895437163,0.248332621699596,0.227425825024007,0.251544697134476,0.261855911391174,0.27617503145192,0.297548336835942,0.438019199453859,0.568563284548181,0.684490739147718,0,0.64817738581362,0.161289606349542,0.0635002250545926,-0.101871453204995,-0.183788141672845,0.0465742361710331,-0.07614380764492,0.825100199411363,0.882403372323951,0.937179285714332,0.75183256867453,0.818998365515607,0.727188051922999,0.515172017487815,0.755263950527323,-0.124256761806286,-0.145004958897074,-0.0792281339999548,-0.0696170187972929,-0.103976290830061,-0.336376642851942,-0.18065315147156,-0.0460897727695816,0.00370685032246903,-0.0403634054650192,0.275053151353528,0.276702935022669,0.19380419187217,0.35820518042746,0.402771120091351,0.329204429373035,0.0209416058935976,0.216374786319796,0.663971481716817
Momentum30,0.226310347154215,-0.0909275366006435,0.185465083293054,0.138179015155063,0.139473904758586,0.15707101095738,0.164489501308709,0.174360053832423,0.185492854634837,0.26420999833138,0.351045732849684,0.426115486304243,0.64817738581362,0,0.246193902831437,0.185849499116866,0.0572578314267171,-0.226853765761173,0.160731647462055,0.00955516718588363,0.592341105554004,0.821478779982479,0.667538602252879,0.938011159940455,0.780169237469924,0.903449955865783,0.883244328267345,0.224032839618861,-0.160112661706658,-0.17782807321581,-0.199657113678651,-0.215439405882049,-0.0716940257738465,-0.359201708945516,-0.178567197429053,-0.0507648108177863,-0.119329055140419,-0.0447677842828259,0.227781922192642,0.232819870012515,0.224775914811319,0.289137177779913,0.347606200534883,0.386349892874855,-0.00157240077512861,0.122446355097152,0.405553849863648
SMA5,-0.0223380831303478,-0.19648306119294,-0.0910734220369923,-0.0458779876938006,-0.0235980554635084,0.00184937320916115,0.0309894949800321,0.0646434090875738,0.0731121747442306,-0.0400332071980462,0.0139282815337097,0.0607987815133508,0.161289606349542,0.246193902831437,0,0.990025193524644,0.957378197828374,0.864759071745226,0.990755586594627,0.958700148221978,0.082907735920946,0.188810167843099,0.133806249095991,0.246767823694379,0.114208589444482,0.262156421029656,0.272131475428054,0.0184902983513204,0.126500185939082,0.143166744192433,0.193374033097248,0.226921898960463,0.643088538970559,0.205989291827173,0.143703529127023,-0.00295709828474126,0.153435512880503,-0.0143805504649758,-0.0081238837968988,0.0202235202040873,0.0336454022372171,-0.0102286990907018,0.0199592195169299,0.0287401292102298,-0.0139354272088299,-0.0294288265579793,0.0473207546014122
SMA10,-0.0579060524247048,-0.190833099922676,-0.123366913003504,-0.0638699333791015,-0.0559235957538141,-0.0437719823091711,-0.026037912102994,0.00741243074202339,0.0404074313231745,-0.0983196465225232,-0.0888646144179163,-0.0629128433518754,0.0635002250545926,0.185849499116866,0.990025193524644,0,0.980917847000757,0.891284250350017,0.997919128314325,0.978330937031338,-0.0282008835111587,0.085592115487866,0.0213208621472695,0.169955279283594,0.024271669999199,0.189157177828147,0.235813415013549,-0.102551891061372,0.159667250398147,0.167465515743593,0.206781255811929,0.23796090376876,0.664596789967186,0.249364648275834,0.176706097948278,0.00622256248340671,0.153450935395086,-0.00621450269267593,-0.0462166271064599,-0.0186770675935163,0.0238793219775127,-0.0577403459176693,-0.0297022904895126,0.00394757724817095,-0.0114377429548057,-0.0584930105672534,-0.0718252814717142
SMA20,-0.099033629753295,-0.176540266891204,-0.161112965057201,-0.0671104721558604,-0.0665767327398764,-0.0621388446101631,-0.0523196203908467,-0.0354253716115569,-0.0187052993456289,-0.117920398712799,-0.131486896312518,-0.134030491451391,-0.101871453204995,0.0572578314267171,0.957378197828374,0.980917847000757,0,0.935996969704354,0.986886975024992,0.99474001398872,-0.135587495268364,-0.056617539566225,-0.125677809799443,0.0334662469874236,-0.1020387029977,0.0265036154769443,0.10124896514504,-0.214701371494326,0.189478113941391,0.210489948156632,0.239511927183487,0.26605429492712,0.698351988300507,0.325440325390093,0.206058652031381,0.0212973417523742,0.161584569269864,0.00309217821138144,-0.0928792302244571,-0.0724442056689207,-0.0326771631811679,-0.11621767799134,-0.10801566821913,-0.0769354684784236,-0.00598300747931705,-0.066037679507738,-0.138971299474353
SMA50,-0.129812153861503,-0.139526564118351,-0.180837323991399,-0.0565587333015388,-0.0610106704121978,-0.0623277322068445,-0.0569069879842741,-0.0491895729397454,-0.0412825243701717,-0.109022962584823,-0.130419129339405,-0.144808024338283,-0.183788141672845,-0.226853765761173,0.864759071745226,0.891284250350017,0.935996969704354,0,0.907450090631289,0.961369175056978,-0.199710593261476,-0.227824560737734,-0.209337408098591,-0.235239922470349,-0.262837059490176,-0.251040415971205,-0.227749067532095,-0.114169887906096,0.260778020847627,0.298932705015205,0.355430341051009,0.384733668715983,0.726219565387891,0.441259665762967,0.254653615979192,0.0438567254461606,0.212105066781081,0.0125506055697021,-0.13064925147683,-0.121950953156987,-0.101329004767319,-0.163696054810528,-0.181531448462044,-0.190986853776545,0.000895062568234592,-0.0534841591625586,-0.141826931958613
EMA12,-0.0577958319971363,-0.189585962441029,-0.124254293211906,-0.0537219732906809,-0.0422226927379887,-0.0290827689464175,-0.0123824471105521,0.0129017483085047,0.032459508286528,-0.0750034652983597,-0.0602028207143064,-0.0376210765917949,0.0465742361710331,0.160731647462055,0.990755586594627,0.997919128314325,0.986886975024992,0.907450090631289,0,0.98587991873373,-0.0190479863867868,0.076933788499691,0.016616198147047,0.150305128860556,0.0155557339113291,0.157061563523687,0.197687828571144,-0.0906920364615054,0.160615060147409,0.177209278096201,0.21797157880124,0.248951335028404,0.675877996800329,0.263807563912463,0.175786633477582,0.0096772938089062,0.159452388004023,-0.00661061361676473,-0.0475061432422929,-0.0242827228165927,0.00697661281903336,-0.0596030608082235,-0.0392091130637299,-0.0167671978264683,-0.0100642730671127,-0.0450051667290021,-0.0469872666383869
EMA26,-0.0947207513616009,-0.173763110651284,-0.156281035241559,-0.0619724029906011,-0.0595367075212185,-0.0539734919360871,-0.0425973650865189,-0.0241991505964485,-0.00754793902586907,-0.105737211774176,-0.112585699257713,-0.109647548020102,-0.07614380764492,0.00955516718588363,0.958700148221978,0.978330937031338,0.99474001398872,0.961369175056978,0.98587991873373,0,-0.119173062073769,-0.0632441535650244,-0.104658728933801,-0.0040041227088751,-0.110391880239753,-0.0105316897974254,0.0395489159886127,-0.149010251113925,0.202486686890076,0.226256726068475,0.269125445490353,0.298430397007782,0.711506724340344,0.344361441429042,0.21400640595128,0.0247053362988646,0.175721138172933,0.00250780455016492,-0.0888568217083982,-0.0699899606829403,-0.0369788130327301,-0.111294754675343,-0.105264424667698,-0.0875282332965627,-0.0057004219092351,-0.0582011969916463,-0.113905037258751
